level,name,chapter,oldTarget,newTarget,targetRatio,medianCompetent,shippedRate,desiredRate,oldHands,oldDiscards,newHands,newDiscards,method
50,Half-Deck Final,5 · Blocked Decks,415,450,0.98,457.0,0.833,0.52,5,5,4,3,calibrated
51,Half and No High,6 · Restricted Decks,400,420,1.0,418.0,0.7,0.52,5,5,4,3,calibrated
52,Half and Tight,6 · Restricted Decks,390,400,0.99,403.5,0.667,0.52,5,3,4,3,calibrated
53,Half and Faceless,6 · Restricted Decks,410,410,0.99,415.5,0.583,0.52,5,5,4,3,calibrated
54,Red Rescue,6 · Restricted Decks,290,300,0.98,306.0,0.767,0.52,5,5,4,3,calibrated
55,Black Rescue,6 · Restricted Decks,400,430,1.0,430.0,0.667,0.52,5,5,4,3,calibrated
56,Half Variety,6 · Restricted Decks,390,440,0.98,449.5,0.733,0.52,5,5,4,3,calibrated
57,Half Sequence,6 · Restricted Decks,250,350,0.98,358.0,0.217,0.52,5,5,4,3,calibrated
58,Half Pressure,6 · Restricted Decks,330,480,0.98,488.0,0.917,0.52,4,3,4,3,calibrated
59,Shifting Suit,6 · Restricted Decks,460,470,1.0,469.0,0.633,0.52,5,5,4,3,calibrated
60,Restricted Final,6 · Restricted Decks,340,400,1.0,401.5,0.883,0.52,5,5,4,3,calibrated
61,Copper Chip,7 · Joker Fundamentals,580,640,1.01,635.5,0.906,0.45,5,5,4,3,calibrated
62,Pair Polisher,7 · Joker Fundamentals,690,770,1.0,767.0,0.938,0.45,5,5,4,3,calibrated
63,Chips Times Mult,7 · Joker Fundamentals,620,825,1.04,796.5,0.938,0.45,5,5,4,3,calibrated
64,Royal Engine,7 · Joker Fundamentals,675,690,1.01,682.5,0.625,0.45,5,5,4,3,calibrated
65,Glass Cannon,7 · Joker Fundamentals,1475,1725,1.01,1702.5,0.875,0.45,5,4,4,3,calibrated
66,Pair Build,7 · Joker Fundamentals,520,640,1.01,633.0,0.969,0.45,5,5,4,3,calibrated
67,Straight Build,7 · Joker Fundamentals,1325,1450,1.01,1439.5,0.844,0.45,5,5,4,3,calibrated
68,Flush Build,7 · Joker Fundamentals,1475,1650,1.01,1629.5,0.906,0.45,5,5,4,3,calibrated
69,Choose Three,7 · Joker Fundamentals,1400,1475,1.01,1465.0,0.75,0.45,5,5,4,3,calibrated
70,Joker Checkpoint,7 · Joker Fundamentals,5100,5400,1.04,5210.5,0.531,0.45,5,5,4,3,calibrated
71,Pair Architect,8 · Build Creation,870,1200,1.02,1171.5,0.906,0.45,5,5,4,2,calibrated
72,Straight Architect,8 · Build Creation,1375,1450,1.0,1447.0,0.906,0.45,5,5,4,2,calibrated
73,Flush Architect,8 · Build Creation,1250,1525,1.02,1499.0,0.969,0.45,5,5,4,2,calibrated
74,Rank Architect,8 · Build Creation,650,710,1.01,701.0,0.719,0.45,5,5,4,2,calibrated
75,Dead Slot,8 · Build Creation,1320,1275,1.0,1269.0,0.344,0.45,5,5,4,2,calibrated
76,Rising Power,8 · Build Creation,1095,1150,1.13,1022.0,0.469,0.45,5,5,4,2,calibrated
77,Joker Blackout,8 · Build Creation,1225,1300,1.0,1298.5,0.844,0.45,5,5,4,2,calibrated
78,Quarter Block Build,8 · Build Creation,1100,1300,1.0,1296.0,1.0,0.45,5,5,4,2,calibrated
79,Half Block Build,8 · Build Creation,1200,1375,1.02,1345.0,0.85,0.45,5,5,4,2,calibrated
80,Build Final,8 · Build Creation,3000,5800,1.06,5476.5,0.906,0.45,4,3,4,2,calibrated
81,Double Trouble,9 · Expert Combinations,2150,2425,1.04,2333.0,0.75,0.36,5,5,4,2,calibrated
82,No Repeat Build,9 · Expert Combinations,1525,1600,1.02,1565.0,0.625,0.36,5,5,4,2,calibrated
83,Black Build,9 · Expert Combinations,1125,1325,1.02,1299.0,0.969,0.36,5,5,4,2,calibrated
84,Red Build,9 · Expert Combinations,900,1200,1.06,1136.0,0.938,0.36,5,5,4,2,calibrated
85,Expensive Discards,9 · Expert Combinations,1425,1975,1.09,1812.0,0.375,0.36,5,5,4,2,calibrated
86,Burned Cards,9 · Expert Combinations,1525,1600,1.02,1569.0,0.688,0.36,5,5,4,2,calibrated
87,Combo Ladder,9 · Expert Combinations,875,1250,1.09,1145.0,0.125,0.36,5,5,4,2,calibrated
88,Four Styles,9 · Expert Combinations,1725,2425,1.23,1978.0,0.594,0.36,5,5,4,2,calibrated
89,Half-Deck Blackout,9 · Expert Combinations,730,850,1.04,820.0,0.85,0.36,5,5,4,2,calibrated
90,Expert Final,9 · Expert Combinations,1250,1525,1.03,1475.5,1.0,0.36,5,5,4,2,calibrated
91,Open Build,10 · Final Gauntlet,3050,8500,1.23,6905.0,1.0,0.28,5,5,4,2,calibrated
92,Half-Deck Power,10 · Final Gauntlet,1125,1350,1.04,1292.0,1.0,0.28,5,5,4,2,calibrated
93,Half-Deck Variety,10 · Final Gauntlet,1350,2900,1.31,2213.0,0.85,0.28,5,5,4,2,calibrated
94,Minimal Discards,10 · Final Gauntlet,2445,2750,1.3,2111.0,0.375,0.28,5,2,4,2,calibrated
95,Faceless Build,10 · Final Gauntlet,950,1225,1.06,1161.0,0.983,0.28,5,5,4,2,calibrated
96,Low-Card Lock,10 · Final Gauntlet,1625,1800,1.04,1732.0,0.833,0.28,5,5,4,2,calibrated
97,Decay,10 · Final Gauntlet,1350,2325,1.11,2092.0,1.0,0.28,5,5,4,2,calibrated
98,Fading Jokers,10 · Final Gauntlet,730,900,1.05,857.0,0.969,0.28,5,5,4,2,calibrated
99,The Wall,10 · Final Gauntlet,1400,3900,1.68,2326.0,0.717,0.28,5,5,4,2,calibrated
100,Master Level,10 · Final Gauntlet,900,4500,1.87,2404.5,0.889,0.22,5,3,4,2,calibrated
